subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-07,0,task-mixedeventrelatedprobe_run-01,16.3587890683,1.19228314433,1.01416212208,0.493886919551,87.0200271606,0.0763945144589,0,0.0,6.08279,5.36877,6.06693,6.90978,0.0390446103852,-0.011806265451,0.0321420878172,71.9715805054,0.0012263362069,func,0.00637154918103,232,64,64,30,5.57548511659,2.0,3.125,3.125,5.0,34.6444396973,644.180480957,8.1172416687,423.987060547,158.906036377,819.762939453,61.8385696411,117.775062561
sub-07,0,task-mixedeventrelatedprobe_run-02,16.7513433142,1.22399534502,1.03877773952,0.494726911908,85.5403289795,0.0916677589913,0,0.0,6.11342,5.39641,6.10259,6.93798,0.0597116453894,-0.012209395878,0.0318971052766,67.8875656128,0.00280689655172,func,0.00760167349138,232,64,64,30,5.57574097051,2.0,3.125,3.125,5.0,35.0251083374,644.355957031,8.125,425.701721191,161.686425781,819.220678711,62.3457565308,117.530799866
sub-07,0,task-probabilisticclassification_run-01,16.5191966915,1.18881953447,1.01825870464,0.493174376155,87.1158905029,0.072166592781,0,0.0,6.03309,5.3152,6.00329,6.88195,0.0294019990497,-0.0121657093987,0.0314720906317,70.1745147705,0.00150416666667,func,0.0066646755,180,64,64,30,5.54251235474,2.0,3.125,3.125,5.0,34.389251709,641.882995605,8.07777786255,423.854443359,158.004443359,817.481140137,61.6877326965,118.042900085
sub-07,0,task-probabilisticclassification_run-02,16.4933705888,1.19719147106,1.03538732246,0.493818752632,86.3597183228,0.0959035148883,0,0.0,6.08271,5.36334,6.0609,6.9234,0.0537420272827,-0.0121526354924,0.0316218957305,65.2993774414,0.00282905555556,func,0.00789640005556,180,64,64,30,5.56103316591,2.0,3.125,3.125,5.0,34.602268219,642.10345459,8.08333396912,421.64417572,158.853338623,817.222784424,61.9432830811,117.717201233
sub-08,0,task-deterministicclassification_run-01,14.3095690817,1.10416412419,0.991356584637,0.502664286973,100.254318237,0.0916680471397,0,0.0,6.3775,5.49215,6.36958,7.41479,0.0218458824688,-0.0135897947475,0.0398448780179,65.5332183838,0.000575055555556,func,0.00985589155556,180,64,64,30,5.93278294384,2.0,3.125,3.125,5.0,29.7369270325,580.277832031,8.03333377838,377.313626099,129.755561829,715.933905029,51.44789505,100.769020081
sub-08,0,task-deterministicclassification_run-02,14.8563043071,1.13907554844,1.00489631302,0.503364736238,99.346496582,0.0756520989874,0,0.0,6.35813,5.48784,6.37527,7.34663,0.0204287807147,-0.0139076551422,0.0406250096858,65.9250106812,0.00105338888889,func,0.00964370577778,180,64,64,30,5.94883123047,2.0,3.125,3.125,5.0,29.8457546234,578.669616699,8.02222251892,378.609448242,130.166671753,714.772216797,51.5033721924,100.366416931
sub-08,0,task-mixedeventrelatedprobe_run-01,14.3608219262,1.1122722429,0.995252322165,0.503710979019,99.0352478027,0.0744152562684,0,0.0,6.34926,5.50143,6.35987,7.31552,0.0226267925624,-0.0136557025835,0.0410501807928,66.7619247437,0.000610086206897,func,0.00938160974138,232,64,64,30,5.95587365314,2.0,3.125,3.125,5.0,29.935749054,579.649536133,8.03448295593,380.395678711,130.536632538,715.794812012,51.585018158,100.406913757
sub-08,0,task-mixedeventrelatedprobe_run-02,14.6508790834,1.10233647788,0.974778027922,0.505632192611,97.5712356567,0.0859266488571,0,0.0,6.4457,5.57348,6.4703,7.42607,0.0166748217468,-0.0144502492622,0.041075438261,63.2167129517,0.000445086206897,func,0.0118689771983,232,64,64,30,5.97834593536,2.0,3.125,3.125,5.0,30.3362140656,577.673522949,8.05603408813,379.973068237,133.101722717,712.244628906,51.7085189819,99.500831604
sub-08,0,task-probabilisticclassification_run-01,13.5185906125,1.09232895397,1.01572748279,0.501806940876,102.559432983,0.0855977871636,0,0.0,6.39593,5.49702,6.38003,7.46038,0.0301174322764,-0.0127590978518,0.0392635390162,65.5069122314,0.00173622222222,func,0.00914950294444,180,64,64,30,5.91518970323,2.0,3.125,3.125,5.0,29.3178768158,579.306335449,8.01111125946,375.727783203,129.285006714,716.75138855,50.6853675842,101.058937073
sub-08,0,task-probabilisticclassification_run-02,13.9965599901,1.09723783358,1.00037136777,0.50189971207,100.326530457,0.0868549925514,0,0.0,6.35129,5.46486,6.32072,7.4172,0.0186185426182,-0.012771868147,0.0398990288377,68.4861755371,0.000592333333333,func,0.00848828472222,180,64,64,30,5.91436909782,2.0,3.125,3.125,5.0,29.6355800629,580.542480469,8.02777767181,379.531401062,129.84305954,717.478060913,51.5167388916,101.009338379
sub-09,0,task-deterministicclassification_run-01,18.1909221352,1.23080668223,1.00660520966,0.537365884327,67.2543106079,0.0731684718888,0,0.0,6.31337,5.48244,6.29942,7.28634,0.0131194406086,-0.0085142981261,0.0491270460188,65.0369262695,0.000586222222222,func,0.00797574244444,180,64,64,30,5.86214623059,2.0,3.125,3.125,5.0,40.0035324097,617.46875,9.29444503784,419.67612915,174.447779846,775.893359375,66.0654907227,107.94618988
sub-09,0,task-deterministicclassification_run-02,18.2802154765,1.21855196324,1.00180341101,0.537640097199,65.8813781738,0.0877654252106,0,0.0,6.33484,5.47734,6.32922,7.3331,0.0216760171784,-0.00867445487529,0.0491803959012,63.3910446167,0.000563388888889,func,0.00870604,180,64,64,30,5.89341034413,2.0,3.125,3.125,5.0,40.3547210693,617.923950195,9.30000019073,421.284460449,175.739447021,775.141137695,66.8179702759,107.45904541
sub-09,0,task-mixedeventrelatedprobe_run-01,17.4591927135,1.17969736688,0.976773538052,0.537891904728,65.575302124,0.0906530421463,0,0.0,6.45953,5.63744,6.42901,7.43663,0.0130547541997,-0.00887942314148,0.0498230271041,59.5749053955,0.00055875,func,0.0118000389655,232,64,64,30,5.88946959458,2.0,3.125,3.125,5.0,39.7129516602,612.52722168,9.21982765198,417.156021118,174.968106079,766.362481689,65.997428894,106.466018677
sub-09,0,task-mixedeventrelatedprobe_run-02,18.7873366924,1.24557505879,1.00111844346,0.537123585697,65.9740142822,0.0926201027394,0,0.0,6.32453,5.54109,6.30639,7.23952,0.0204515169407,-0.0096423337236,0.0502921901643,63.5823516846,0.000541594827586,func,0.0088838625,232,64,64,30,5.82433833806,2.0,3.125,3.125,5.0,39.9387931824,615.515441895,9.27586174011,418.010787964,174.334487915,771.362075806,66.4585037231,108.392677307
sub-09,0,task-probabilisticclassification_run-01,16.7840058204,1.16113560698,0.993890118324,0.538048623268,67.4436035156,0.0775242691218,0,0.0,6.39167,5.50545,6.38118,7.43274,0.0145790312025,-0.00833891239017,0.0487980619073,61.3801078796,0.000489277777778,func,0.00946312866667,180,64,64,30,5.8716633979,2.0,3.125,3.125,5.0,39.9431190491,614.785705566,9.28333377838,418.411688232,174.432223511,771.6775177,65.5735244751,107.127464294
sub-09,0,task-probabilisticclassification_run-02,17.6429402282,1.20314621749,0.996237893855,0.537920312564,67.3921279907,0.0811643059137,0,0.0,6.35519,5.5622,6.32006,7.30162,0.0116794347763,-0.00830954685807,0.0490293614566,63.0713005066,0.000456611111111,func,0.00864828222222,180,64,64,30,5.90412791132,2.0,3.125,3.125,5.0,39.6856575012,615.771179199,9.23333358765,421.096673584,173.408617401,773.041125488,65.4765548706,106.890426636
sub-10,0,task-deterministicclassification_run-01,14.8746552866,1.05829469542,0.953362755475,0.476280747508,108.442512512,0.0681992236425,0,0.0,7.01944,6.14046,6.886,8.17973,0.0131335735321,-0.00229890737683,0.0263841226697,62.7466964722,0.000623444444444,func,0.0102211320556,180,64,64,30,5.56316755704,2.0,3.125,3.125,5.0,36.0223655701,735.240722656,8.72777843475,464.005563354,158.649176025,919.316137695,62.2922477722,136.813644409
sub-10,0,task-deterministicclassification_run-02,16.3747449218,1.1391504767,0.994543227039,0.475284452625,107.760887146,0.0693061899161,0,0.0,6.80348,5.91363,6.70544,7.94166,0.0115602016449,-0.00237176869996,0.0265365671366,73.8886566162,0.0005145,func,0.00659772733333,180,64,64,30,5.54078615494,2.0,3.125,3.125,5.0,36.205368042,737.751098633,8.75,467.284742737,158.831109619,924.362533569,62.9674682617,137.592315674
sub-10,0,task-mixedeventrelatedprobe_run-01,17.2671531576,1.17109195416,1.0001693645,0.47615163449,109.925849915,0.071754963381,0,0.0,6.72165,5.8667,6.53746,7.91816,0.00813751744813,-0.00201826076955,0.0255670975894,75.1616592407,0.000549913793103,func,0.00625850293103,232,64,64,30,5.54019281684,2.0,3.125,3.125,5.0,36.0050354004,735.727539062,8.76293087006,461.579945374,157.526725769,921.171774292,61.9973487854,137.611068726
sub-10,0,task-mixedeventrelatedprobe_run-02,17.1945088538,1.15988995446,0.997561451299,0.476333700188,108.425537109,0.0695317754935,0,0.0,6.64505,5.80568,6.4557,7.82885,0.0138443071267,-0.00211835443042,0.0255199652165,75.1326141357,0.000452370689655,func,0.00620882439655,232,64,64,30,5.53022261168,2.0,3.125,3.125,5.0,36.5120544434,736.444763184,8.79741382599,464.230175781,159.969827271,922.056884766,62.7126541138,137.531768799
sub-10,0,task-probabilisticclassification_run-01,16.3442130644,1.14869910453,1.00633934207,0.475423668848,108.000343323,0.0678128866928,0,0.0,6.77006,5.92407,6.63089,7.89924,0.0108335230086,-0.00186048145406,0.0257069747895,76.3780822754,0.000755722222222,func,0.005946576,180,64,64,30,5.52426935819,2.0,3.125,3.125,5.0,36.3535423279,736.261352539,8.76666641235,466.060015869,158.800836182,923.161688232,62.8737716675,137.604400635
sub-10,0,task-probabilisticclassification_run-02,17.3150889544,1.16694904101,0.999839416257,0.475597681698,109.181816101,0.0676134756352,0,0.0,6.7255,5.89833,6.56201,7.85973,0.00758417712318,-0.00168353004847,0.0258258860558,75.5938491821,0.000513277777778,func,0.00603001361111,180,64,64,30,5.52423867254,2.0,3.125,3.125,5.0,36.1327896118,735.707946777,8.75,463.50111084,157.391674042,921.658911133,62.4021682739,137.772491455
sub-11,0,task-deterministicclassification_run-01,16.6438965825,1.16201097899,0.999147569553,0.51550730298,83.0614852905,0.0868556251006,0,0.0,6.94244,5.93491,7.01893,8.03251,0.017726943228,0.00217293901369,0.0426783263683,62.6802825928,0.000987055555556,func,0.00686582438889,180,64,64,30,5.19159676634,2.0,3.125,3.125,5.0,37.5840950012,629.45501709,8.72222232819,391.906401062,157.283340454,807.816711426,60.2493209839,124.552879333
sub-11,0,task-deterministicclassification_run-02,15.5483387301,1.13033630642,1.01204231078,0.515455241759,82.4477005005,0.0725299329511,0,0.0,6.78606,5.81871,6.82685,7.86695,0.0180969834328,0.00229848176241,0.0442345961928,67.1276855469,0.000976888888889,func,0.00571877194444,180,64,64,30,5.17801389038,2.0,3.125,3.125,5.0,37.73960495,630.844909668,8.73888874054,394.466674805,158.316665649,809.941680908,60.7685012817,125.24559021
sub-11,0,task-mixedeventrelatedprobe_run-01,15.2190604933,1.09942596416,0.987476640043,0.518205690766,79.9945297241,0.0761302228693,0,0.0,6.82925,5.82588,6.86933,7.95872,0.0193642275087,0.00219557760283,0.0440173707902,61.892906189,0.000617672413793,func,0.00709958112069,232,64,64,30,5.22569216242,2.0,3.125,3.125,5.0,38.3507919312,628.905029297,8.75862026215,393.496768188,160.875862122,804.987710571,61.3239135742,123.919677734
sub-11,0,task-mixedeventrelatedprobe_run-02,14.9291451317,1.07568859121,0.974274004113,0.519884546297,79.3872680664,0.0777623789403,0,0.0,6.88788,5.85644,6.93735,8.04319,0.0130734238131,0.0019689174369,0.045208003372,59.0523071289,0.000864655172414,func,0.00842810090517,232,64,64,30,5.23132181174,2.0,3.125,3.125,5.0,38.4706344604,627.707763672,8.73706912994,392.791596985,161.321548462,803.54418335,61.1735420227,123.224693298
sub-11,0,task-probabilisticclassification_run-01,14.9649169964,1.10440169503,1.00441204771,0.516144280345,81.2432403564,0.061202901865,0,0.0,6.73477,5.77435,6.7745,7.80888,0.0121705002255,0.00212094769813,0.0444560796022,67.346572876,0.000765555555556,func,0.00576866333333,180,64,64,30,5.18681810057,2.0,3.125,3.125,5.0,38.0843429565,632.293151855,8.75,395.770272827,159.994445801,811.023608398,61.3815231323,125.236450195
sub-11,0,task-probabilisticclassification_run-02,15.1360656747,1.10467207263,1.00493564352,0.516799681202,79.7141342163,0.0697897093184,0,0.0,6.66396,5.70719,6.67649,7.76653,0.0110817432404,0.00201216572896,0.0448732897639,67.0652542114,0.0007935,func,0.005817873,180,64,64,30,5.21941687795,2.0,3.125,3.125,5.0,38.3502578735,633.030212402,8.74444484711,397.447235107,161.532507324,811.35920105,62.0441513062,124.602012634
sub-12,0,task-deterministicclassification_run-01,17.7863943538,1.22944058883,0.99454722,0.495021479766,81.1757888794,0.0930175235397,0,0.0,6.56288,5.90456,6.33706,7.55453,0.016168279118,-0.0070960894227,0.0174651388079,57.815776825,0.000784,func,0.0106259226667,180,64,64,30,5.52810685346,2.0,3.125,3.125,5.0,32.4013633728,569.594970703,8.87222290039,377.211108398,145.181668091,730.330041504,56.1723098755,105.082603455
sub-12,0,task-deterministicclassification_run-02,19.3200018049,1.2706868286,1.00517645894,0.493762352975,80.0922393799,0.103214980266,0,0.0,6.42318,5.78129,6.20281,7.38988,0.0121749480565,-0.0069571826607,0.0171516090631,61.2359542847,0.000594666666667,func,0.008305831,180,64,64,30,5.47293165866,2.0,3.125,3.125,5.0,32.3548851013,570.165222168,8.85555553436,378.1277771,143.698886108,732.466674805,56.895149231,106.260429382
sub-12,0,task-mixedeventrelatedprobe_run-01,18.5587316404,1.27159848593,0.999500263117,0.494542082685,81.007019043,0.110056525552,0,0.0,6.48497,5.91338,6.22043,7.41425,0.00700380781601,-0.00639733159915,0.0179189946502,60.2004623413,0.000671594827586,func,0.00892157926724,232,64,64,30,5.44560055753,2.0,3.125,3.125,5.0,32.204624176,570.737243652,8.83620643616,377.33190918,141.734912109,734.117889404,56.2493782043,106.706268311
sub-12,0,task-mixedeventrelatedprobe_run-02,18.7346918964,1.27487487048,1.00563696481,0.494422716289,80.1545257568,0.101321728524,0,0.0,6.39594,5.83192,6.10398,7.35001,0.00989935521422,-0.0064656259492,0.0179457496852,62.0516738892,0.000501724137931,func,0.00769787681034,232,64,64,30,5.42545315251,2.0,3.125,3.125,5.0,32.5588340759,570.354736328,8.86637973785,377.059472656,142.41594696,734.504309082,56.7971992493,107.274909973
